MUNICIPIOS OD,Está?
5001,Sí
5002,Sí
5004,Sí
5021,Sí
5030,Sí
5031,Sí
5034,Sí
5036,Sí
5038,Sí
5040,Sí
5042,Sí
5045,No
5051,Sí
5059,Sí
5079,Sí
5086,Sí
5088,Sí
5091,Sí
5093,Sí
5101,Sí
5107,Sí
5113,Sí
5120,Sí
5125,Sí
5129,Sí
5134,Sí
5138,Sí
5142,Sí
5145,Sí
5147,Sí
5148,Sí
5150,Sí
5154,Sí
5172,Sí
5190,Sí
5197,Sí
5206,Sí
5209,Sí
5212,Sí
5234,Sí
5237,Sí
5240,Sí
5250,Sí
5264,Sí
5266,Sí
5282,Sí
5284,Sí
5306,Sí
5308,Sí
5310,Sí
5313,Sí
5315,Sí
5318,Sí
5321,Sí
5353,Sí
5360,Sí
5361,Sí
5364,Sí
5368,Sí
5376,Sí
5380,Sí
5390,Sí
5400,Sí
5411,Sí
5425,Sí
5440,Sí
5467,Sí
5480,Sí
5483,Sí
5490,Sí
5495,Sí
5541,Sí
5543,Sí
5576,Sí
5579,Sí
5585,Sí
5591,Sí
5604,Sí
5607,Sí
5615,Sí
5628,Sí
5631,Sí
5642,Sí
5647,Sí
5649,Sí
5652,Sí
5656,Sí
5658,Sí
5659,Sí
5660,Sí
5664,Sí
5665,Sí
5667,Sí
5670,Sí
5674,Sí
5679,Sí
5686,Sí
5690,Sí
5697,Sí
5736,Sí
5756,No
5761,Sí
5789,Sí
5790,Sí
5792,Sí
5809,Sí
5819,Sí
5837,Sí
5842,Sí
5847,Sí
5854,Sí
5856,Sí
5861,Sí
5873,No
5885,Sí
5887,Sí
5890,Sí
5893,Sí
5895,Sí
8001,Sí
8078,Sí
8137,Sí
8141,Sí
8296,Sí
8372,No
8421,Sí
8433,Sí
8436,Sí
8520,Sí
8549,Sí
8558,Sí
8560,Sí
8573,Sí
8606,Sí
8634,Sí
8638,Sí
8675,Sí
8685,Sí
8758,Sí
8770,Sí
8832,Sí
8849,Sí
10001,No
10002,No
11001,Sí
13001,Sí
13006,No
13030,Sí
13042,No
13052,Sí
13062,Sí
13074,No
13140,Sí
13160,No
13188,Sí
13212,Sí
13222,Sí
13244,Sí
13248,No
13300,No
13430,Sí
13433,Sí
13440,No
13442,Sí
13458,No
13468,No
13549,No
13580,No
13600,No
13620,No
13647,Sí
13650,No
13654,Sí
13655,No
13657,Sí
13667,No
13670,No
13673,Sí
13683,Sí
13688,No
13744,No
13780,Sí
13836,Sí
13873,Sí
13894,Sí
15001,Sí
15022,Sí
15047,Sí
15051,Sí
15087,Sí
15090,Sí
15092,No
15097,Sí
15104,Sí
15106,Sí
15109,Sí
15114,Sí
15131,Sí
15135,Sí
15162,Sí
15172,Sí
15176,Sí
15180,Sí
15183,Sí
15185,Sí
15187,Sí
15189,Sí
15204,Sí
15212,Sí
15215,Sí
15218,Sí
15223,Sí
15224,Sí
15226,Sí
15232,Sí
15236,Sí
15238,Sí
15244,Sí
15248,Sí
15272,Sí
15276,Sí
15293,Sí
15296,Sí
15299,Sí
15317,Sí
15322,Sí
15325,Sí
15332,Sí
15362,Sí
15367,Sí
15368,Sí
15377,No
15380,Sí
15401,Sí
15403,Sí
15407,Sí
15425,Sí
15442,Sí
15455,Sí
15464,Sí
15466,Sí
15469,Sí
15476,Sí
15480,Sí
15491,Sí
15494,Sí
15500,Sí
15507,Sí
15511,Sí
15514,Sí
15516,Sí
15518,Sí
15522,Sí
15531,Sí
15533,No
15537,Sí
15542,Sí
15572,Sí
15580,Sí
15599,Sí
15600,Sí
15632,Sí
15638,Sí
15646,Sí
15660,Sí
15664,Sí
15667,Sí
15673,Sí
15676,Sí
15681,Sí
15686,Sí
15690,Sí
15693,Sí
15696,Sí
15720,Sí
15723,Sí
15740,Sí
15753,Sí
15755,Sí
15757,Sí
15759,Sí
15761,Sí
15762,Sí
15763,Sí
15764,Sí
15774,Sí
15776,Sí
15778,Sí
15790,Sí
15798,Sí
15804,Sí
15806,Sí
15808,Sí
15810,Sí
15814,Sí
15816,Sí
15820,Sí
15822,Sí
15832,Sí
15835,Sí
15837,Sí
15839,Sí
15842,Sí
15861,Sí
15879,Sí
15897,Sí
17001,Sí
17013,Sí
17042,Sí
17050,Sí
17088,Sí
17174,Sí
17272,Sí
17380,Sí
17388,Sí
17433,Sí
17442,Sí
17444,Sí
17486,Sí
17513,Sí
17524,Sí
17541,Sí
17614,Sí
17616,Sí
17653,Sí
17662,Sí
17665,Sí
17777,Sí
17867,Sí
17873,Sí
17877,Sí
18001,Sí
18029,Sí
18094,Sí
18150,No
18205,Sí
18247,Sí
18256,Sí
18410,Sí
18460,Sí
18479,Sí
18592,Sí
18610,Sí
18753,Sí
18756,No
18785,Sí
18860,Sí
19001,Sí
19022,Sí
19050,Sí
19075,Sí
19100,Sí
19110,Sí
19130,Sí
19137,Sí
19142,Sí
19212,Sí
19290,Sí
19300,Sí
19318,No
19355,Sí
19364,Sí
19392,Sí
19397,Sí
19418,No
19450,Sí
19455,Sí
19473,Sí
19513,Sí
19532,Sí
19533,Sí
19548,Sí
19573,Sí
19585,Sí
19622,Sí
19693,Sí
19698,Sí
19701,Sí
19743,Sí
19780,Sí
19785,Sí
19807,Sí
19821,Sí
19824,Sí
19845,Sí
20001,Sí
20011,Sí
20013,Sí
20032,No
20045,Sí
20060,Sí
20175,Sí
20178,Sí
20228,Sí
20238,Sí
20250,Sí
20295,Sí
20310,Sí
20383,No
20400,Sí
20517,Sí
20550,Sí
20570,Sí
20614,Sí
20621,Sí
20710,Sí
20750,Sí
20770,Sí
20787,Sí
23001,Sí
23068,Sí
23079,Sí
23090,Sí
23162,Sí
23182,Sí
23189,Sí
23300,No
23350,Sí
23417,Sí
23419,No
23464,Sí
23466,Sí
23500,Sí
23555,Sí
23570,Sí
23574,Sí
23580,Sí
23586,Sí
23660,Sí
23670,Sí
23672,Sí
23675,Sí
23678,Sí
23686,Sí
23807,Sí
23855,Sí
25001,Sí
25019,No
25035,Sí
25040,No
25053,Sí
25086,Sí
25095,Sí
25099,Sí
25120,Sí
25123,Sí
25126,Sí
25148,Sí
25151,Sí
25154,Sí
25168,Sí
25175,Sí
25178,No
25181,Sí
25183,Sí
25200,Sí
25214,No
25224,Sí
25245,Sí
25258,Sí
25260,Sí
25269,Sí
25279,Sí
25281,Sí
25286,Sí
25288,Sí
25290,Sí
25293,Sí
25295,Sí
25297,Sí
25307,Sí
25312,Sí
25317,Sí
25320,Sí
25322,Sí
25324,No
25326,Sí
25328,Sí
25335,Sí
25339,Sí
25368,Sí
25372,Sí
25377,No
25386,Sí
25394,Sí
25398,Sí
25402,Sí
25407,Sí
25426,No
25430,Sí
25436,Sí
25438,Sí
25473,Sí
25483,Sí
25486,Sí
25488,Sí
25489,Sí
25491,Sí
25506,Sí
25513,Sí
25518,No
25524,Sí
25530,Sí
25535,Sí
25572,Sí
25580,Sí
25592,Sí
25594,Sí
25596,Sí
25645,Sí
25653,Sí
25658,No
25662,Sí
25718,Sí
25736,Sí
25740,Sí
25743,No
25745,No
25754,Sí
25758,Sí
25769,Sí
25772,Sí
25777,Sí
25779,Sí
25781,Sí
25785,Sí
25793,Sí
25797,Sí
25799,Sí
25805,Sí
25807,Sí
25815,Sí
25817,Sí
25823,Sí
25839,Sí
25841,Sí
25843,No
25845,Sí
25851,Sí
25862,No
25867,No
25871,Sí
25873,Sí
25875,No
25878,Sí
25885,Sí
25898,Sí
25899,Sí
27001,Sí
27025,No
27073,No
27077,No
27150,No
27160,Sí
27205,Sí
27245,No
27250,No
27361,Sí
27372,No
27413,No
27425,No
27430,No
27450,No
27491,Sí
27580,No
27600,No
27660,No
27745,No
27787,Sí
27810,Sí
41001,Sí
41006,Sí
41013,Sí
41016,Sí
41020,Sí
41026,Sí
41078,Sí
41132,Sí
41206,Sí
41298,Sí
41306,Sí
41319,Sí
41349,Sí
41357,Sí
41359,Sí
41378,Sí
41396,Sí
41483,Sí
41518,Sí
41524,Sí
41530,Sí
41548,Sí
41551,Sí
41615,Sí
41660,Sí
41668,Sí
41676,Sí
41770,Sí
41791,Sí
41797,Sí
41799,Sí
41801,Sí
41807,Sí
41872,Sí
41885,Sí
44001,Sí
44035,Sí
44078,Sí
44090,Sí
44110,Sí
44279,Sí
44378,Sí
44420,Sí
44430,Sí
44560,Sí
44650,Sí
44847,Sí
44855,Sí
44874,Sí
47001,Sí
47030,Sí
47053,Sí
47058,Sí
47161,Sí
47170,Sí
47189,Sí
47205,Sí
47245,Sí
47258,Sí
47268,Sí
47288,Sí
47318,Sí
47460,Sí
47545,No
47551,Sí
47555,Sí
47570,Sí
47605,Sí
47660,Sí
47692,Sí
47703,Sí
47707,Sí
47720,Sí
47798,Sí
47960,Sí
47980,Sí
50001,Sí
50006,Sí
50110,Sí
50124,Sí
50150,Sí
50223,Sí
50226,Sí
50245,Sí
50251,Sí
50270,Sí
50287,Sí
50313,Sí
50318,Sí
50325,Sí
50330,Sí
50350,No
50370,Sí
50400,Sí
50450,Sí
50568,Sí
50573,Sí
50577,Sí
50590,Sí
50606,Sí
50680,Sí
50683,Sí
50686,Sí
50689,Sí
50711,Sí
52001,Sí
52022,Sí
52036,Sí
52051,Sí
52079,Sí
52083,Sí
52110,Sí
52203,Sí
52207,Sí
52210,Sí
52215,Sí
52224,Sí
52227,Sí
52233,Sí
52240,Sí
52250,No
52256,Sí
52258,Sí
52260,Sí
52287,Sí
52317,Sí
52320,Sí
52323,Sí
52352,Sí
52354,Sí
52356,Sí
52378,Sí
52381,Sí
52385,Sí
52390,No
52399,Sí
52405,No
52411,Sí
52418,Sí
52427,No
52435,Sí
52473,No
52480,Sí
52490,No
52506,Sí
52540,Sí
52560,Sí
52565,Sí
52573,Sí
52585,Sí
52612,Sí
52621,No
52678,Sí
52683,Sí
52685,Sí
52687,Sí
52693,Sí
52694,Sí
52696,No
52720,Sí
52786,Sí
52788,Sí
52835,Sí
52838,Sí
52885,Sí
54001,Sí
54003,Sí
54051,Sí
54099,Sí
54109,Sí
54125,Sí
54128,Sí
54172,Sí
54174,Sí
54206,Sí
54223,Sí
54239,Sí
54250,No
54261,Sí
54313,No
54347,Sí
54377,Sí
54385,Sí
54398,Sí
54405,Sí
54418,Sí
54480,Sí
54498,Sí
54518,Sí
54520,Sí
54553,Sí
54660,Sí
54670,Sí
54720,Sí
54800,Sí
54810,Sí
54871,Sí
54874,Sí
63001,Sí
63111,Sí
63130,Sí
63190,Sí
63212,Sí
63272,Sí
63302,Sí
63401,Sí
63470,Sí
63548,Sí
63594,Sí
63690,Sí
66001,Sí
66045,Sí
66088,Sí
66170,Sí
66318,Sí
66383,Sí
66400,Sí
66440,Sí
66456,Sí
66572,Sí
66594,Sí
66682,Sí
66687,Sí
68001,Sí
68020,Sí
68051,Sí
68077,Sí
68081,Sí
68092,Sí
68101,Sí
68132,Sí
68147,Sí
68152,Sí
68162,Sí
68167,Sí
68176,Sí
68179,Sí
68190,Sí
68207,Sí
68209,Sí
68217,Sí
68229,Sí
68235,Sí
68245,Sí
68255,Sí
68264,No
68276,Sí
68296,Sí
68298,Sí
68307,Sí
68318,Sí
68320,Sí
68324,Sí
68327,Sí
68385,Sí
68397,Sí
68406,Sí
68418,Sí
68425,Sí
68432,Sí
68444,Sí
68464,Sí
68468,Sí
68500,Sí
68502,Sí
68522,Sí
68524,Sí
68533,Sí
68547,Sí
68549,Sí
68572,Sí
68573,Sí
68575,Sí
68615,Sí
68655,Sí
68669,Sí
68673,Sí
68679,Sí
68682,Sí
68686,Sí
68689,Sí
68705,Sí
68720,Sí
68745,Sí
68755,Sí
68770,Sí
68780,Sí
68855,Sí
68861,Sí
68867,Sí
68872,Sí
68895,Sí
70001,Sí
70110,Sí
70124,No
70204,Sí
70215,Sí
70221,Sí
70230,Sí
70233,Sí
70235,Sí
70265,Sí
70418,Sí
70429,Sí
70473,Sí
70508,Sí
70523,No
70670,Sí
70678,Sí
70702,Sí
70708,Sí
70713,Sí
70717,Sí
70742,Sí
70771,Sí
70820,Sí
70823,Sí
73001,Sí
73024,Sí
73026,Sí
73030,Sí
73043,Sí
73055,Sí
73067,Sí
73124,Sí
73148,Sí
73152,Sí
73168,Sí
73200,Sí
73217,Sí
73226,Sí
73236,Sí
73268,Sí
73270,Sí
73275,Sí
73283,Sí
73319,Sí
73347,Sí
73349,Sí
73352,Sí
73408,Sí
73411,Sí
73443,Sí
73449,Sí
73461,No
73483,Sí
73504,Sí
73520,Sí
73547,Sí
73555,No
73563,Sí
73585,Sí
73616,Sí
73622,Sí
73624,Sí
73671,Sí
73675,Sí
73678,Sí
73686,Sí
73770,Sí
73854,Sí
73861,Sí
73870,Sí
73873,Sí
76001,Sí
76020,Sí
76036,Sí
76041,Sí
76054,Sí
76100,Sí
76109,Sí
76111,Sí
76113,Sí
76122,Sí
76126,Sí
76130,Sí
76147,Sí
