CODIGOVIA,TPD_AUTOS,TPD_BUSES,TPD_C2,TPD_C3__C4,TPD_C5,TPD_MAS_C5,CLASE_DE_R,START_X,START_Y,END_X,END_Y,COSTO_AUTOS,COSTO_BUSES,COSTO_C2,COSTO_C3__C4,COSTO_C5,COSTO_MAS_C5,TPD_Global,FID,CLASE_DE_R,COD_AFORO
4501,503,23,188,29,14,23,Primer Orden,-76.921495,0.277191,-76.876006,0.251307,6380.99,16186.53,12712.71,22013.19,38298.27,39985.91,1449,0,Primer Orden,959
86757,50000,30000,30000,30000,30000,30000,Vía Municipal,-76.922335,0.277207,-76.921495,0.277191,72.2,193.99,155.92,266.34,433.95,452.6,665000,1,Vía Municipal,0
4501,503,23,188,29,14,23,Primer Orden,-76.912161,0.338346,-76.922335,0.277207,6186.38,15692.87,12324.99,21341.82,37130.24,38766.4,1449,2,Primer Orden,959
86757,50000,30000,30000,30000,30000,30000,Vía Municipal,-76.912097,0.338945,-76.912161,0.338346,49.98,134.3,107.94,184.39,300.42,313.33,665000,3,Vía Municipal,0
86757,50000,30000,30000,30000,30000,30000,Vía Municipal,-76.916603,0.339201,-76.912097,0.338945,381.13,1024.08,823.11,1406.01,2290.77,2389.25,665000,4,Vía Municipal,0
45PT03,200,50,100,50,50,25,Departamental,-76.945621,0.344045,-76.916603,0.339201,2734.31,8307.08,6171.72,10333.08,17588.1,18374.54,1250,5,Departamental,0
86757,50000,30000,30000,30000,30000,30000,Vía Municipal,-76.910668,0.350589,-76.912097,0.338945,974.1,2617.38,2103.72,3593.52,5854.82,6106.53,665000,6,Vía Municipal,0
4501,503,23,188,29,14,23,Primer Orden,-76.904566,0.412649,-76.910668,0.350589,6199.03,15724.95,12350.19,21385.45,37206.13,38845.65,1449,7,Primer Orden,959
86865,50000,30000,30000,30000,30000,30000,Vía Municipal,-76.905685,0.422271,-76.904566,0.412649,891.2,2394.64,1924.7,3287.72,5356.59,5586.88,665000,8,Vía Municipal,0
02PT04,200,50,100,50,50,25,Departamental,-76.966099,0.415787,-76.942877,0.427325,2650.67,8111.74,5970.24,10113.47,18245.17,19123.73,1250,9,Departamental,0
86865,50000,30000,30000,30000,30000,30000,Vía Municipal,-76.913707,0.427945,-76.905685,0.422271,819.42,2201.75,1769.66,3022.88,4925.1,5136.84,665000,10,Vía Municipal,0
86865,50000,30000,30000,30000,30000,30000,Vía Municipal,-76.901912,0.43047,-76.905685,0.422271,751.49,2019.23,1622.96,2772.3,4516.83,4711.02,665000,11,Vía Municipal,0
02PT03,200,50,100,50,50,25,Departamental,-76.942877,0.427325,-76.913707,0.427945,2961.67,9063.49,6670.73,11300.08,20385.88,21367.53,1250,12,Departamental,0
02PT03,200,50,100,50,50,25,Departamental,-76.998985,0.406208,-76.942877,0.427325,6610.83,20230.87,14889.92,25223.23,45503.9,47695.06,1250,13,Departamental,0
86865,50000,30000,30000,30000,30000,30000,Vía Municipal,-76.905663,0.432848,-76.901912,0.43047,371.29,997.64,801.86,1369.71,2231.62,2327.56,665000,14,Vía Municipal,0
86865,50000,30000,30000,30000,30000,30000,Vía Municipal,-76.901819,0.434953,-76.901912,0.43047,403.56,1084.35,871.55,1488.75,2425.58,2529.86,665000,15,Vía Municipal,0
86568,50000,30000,30000,30000,30000,30000,Vía Municipal,-76.505246,0.517455,-76.502445,0.501549,1445.98,3885.3,3122.82,5334.31,8691.04,9064.69,665000,16,Vía Municipal,0
5302,626,73,146,47,9,10,Departamental,-76.524093,0.524214,-76.505246,0.517455,1926.63,4868.24,3842.18,6632.47,11759.06,12323.76,1603,17,Departamental,0
53PT06,200,50,100,50,50,25,Departamental,-76.54847,0.522743,-76.524093,0.524214,2483.67,7600.69,5594.11,9476.3,17095.7,17918.92,1250,18,Departamental,0
45PT14_1,200,50,100,50,50,25,Departamental,-77.162835,0.480935,-77.041581,0.532527,16399.61,50187.14,36937.74,62571.79,112882.47,118318.12,1250,19,Departamental,0
45PT14,200,50,100,50,50,25,Departamental,-77.041581,0.532527,-76.905663,0.432848,18502.09,60549.15,43542.52,77903.55,146312.61,153789.96,1250,20,Departamental,0
5302,626,73,146,47,9,10,Departamental,-76.566495,0.594634,-76.524093,0.524214,8233.96,20805.73,16420.6,28345.64,50255.55,52668.95,1603,21,Departamental,0
4501,503,23,188,29,14,23,Primer Orden,-76.824641,0.64752,-76.901819,0.434953,29292.17,74304.84,58358.14,101052.31,175809.54,183556.69,1449,22,Primer Orden,959
45PT101,784,70,301,44,5,5,Primer Orden,-76.855099,0.652356,-76.824641,0.64752,3194.58,8103.62,6364.49,11020.68,19173.64,20018.54,2158,23,Primer Orden,958
4501,802,43,230,130,56,46,Primer Orden,-76.566495,0.594634,-76.824641,0.64752,30956.58,78526.91,61674.11,106794.21,185799.22,193986.58,2673,24,Primer Orden,957
86320,50000,30000,30000,30000,30000,30000,Vía Municipal,-76.878124,0.670429,-76.855099,0.652356,2743.06,7370.54,5924.09,10119.37,16487.19,17196.01,665000,25,Vía Municipal,0
45PT14,200,50,100,50,50,25,Departamental,-76.885898,0.670769,-77.041581,0.532527,25803.91,84444.75,60726.5,108648.04,204054.61,214482.88,1250,26,Departamental,0
86320,50000,30000,30000,30000,30000,30000,Vía Municipal,-76.878124,0.670429,-76.885898,0.670769,850.73,2285.9,1837.3,3138.42,5113.33,5333.17,665000,27,Vía Municipal,0
08NR03,27,9,7,4,1,1,Departamental,-77.536257,0.671436,-77.536257,0.671436,0,0.01,0.01,0.01,0.02,0.02,106,28,Departamental,0
08NR03,27,9,7,4,1,1,Departamental,-77.536257,0.671436,-77.536257,0.671436,0,0.01,0.01,0.01,0.02,0.02,106,29,Departamental,0
08NR04,27,9,7,4,1,1,Departamental,-77.536257,0.671436,-77.526557,0.656176,3767.95,10459.42,7997.13,13631.31,24360.38,25531.21,106,30,Departamental,0
86320,50000,30000,30000,30000,30000,30000,Vía Municipal,-76.878124,0.670429,-76.887973,0.677052,1512.87,4065.05,3267.3,5581.1,9093.12,9484.06,665000,31,Vía Municipal,0
4502,1913,72,484,100,29,58,Primer Orden,-76.566495,0.594634,-76.6025,0.679298,8770.9,22248.96,17474.07,30257.91,52642.33,54962.04,4452,32,Primer Orden,891
