PUENTE,START_X,START_Y,END_X,END_Y
04-45A05-00-0100,-77.107394,1.461665,-77.136151,1.498278
04-45A05-00-0100,-73.807117,5.318413,-73.793354,5.347274
04-45A05-00-0200,-73.835614,5.599794,-73.812843,5.616589
04-45A05-00-0300,-73.761889,5.692359,-73.761215,5.695979
04-45A05-00-0400,-73.733128,5.766702,-73.730787,5.772705
04-45A05-00-0500,-73.711001,5.792788,-73.710457,5.795156
04-45A05-00-0600,-73.710457,5.795156,-73.708197,5.796813
04-45A05-00-0700,-73.703417,5.800985,-73.700671,5.80239
07-6211-00-0100,-72.754386,5.506507,-72.885489,5.612802
07-6211-00-0200,-72.727705,5.493109,-72.754386,5.506507
07-6211-00-0300,-72.711808,5.463809,-72.727705,5.493109
07-6211-00-0300,-72.723544,5.43155,-72.711808,5.463809
07-6211-00-0500,-72.710034,5.397819,-72.724969,5.431437
07-6211-00-0600,-72.691614,5.376439,-72.710034,5.397819
07-6211-00-0600,-72.687274,5.364333,-72.691614,5.376439
07-6211-00-0800,-72.688537,5.350953,-72.687274,5.364333
07-6211-00-0900,-72.68915,5.346227,-72.688537,5.350953
07-6211-00-1000,-72.690027,5.344882,-72.68915,5.346227
07-6211-00-1100,-72.690672,5.34067,-72.690027,5.344882
07-6211-00-1200,-72.693599,5.332324,-72.690672,5.34067
07-6211-00-1300,-72.695309,5.321776,-72.693599,5.332324
07-6211-00-1400,-72.697476,5.313217,-72.695309,5.321776
07-6211-00-1500,-72.69871,5.310503,-72.697476,5.313217
07-6211-00-1600,-72.701316,5.305949,-72.69871,5.310503
07-6211-00-1700,-72.701957,5.285968,-72.703612,5.290035
07-6211-00-1800,-72.697978,5.28136,-72.701957,5.285968
07-6211-00-1900,-72.696543,5.257355,-72.697978,5.28136
07-6211-00-2000,-72.669195,5.236734,-72.696543,5.257355
07-6211-00-2100,-72.661474,5.231548,-72.669195,5.236734
07-6211-00-2200,-72.630726,5.223363,-72.661474,5.231548
07-6211-00-2300,-72.605436,5.206905,-72.630726,5.223363
07-6211-00-2400,-72.59277,5.194698,-72.605436,5.206905
07-6211-00-2500,-72.582703,5.192048,-72.59277,5.194698
07-6211-00-2600,-72.573335,5.182556,-72.582703,5.192048
07-6513-00-0100,-72.408684,5.359052,-72.412175,5.366959
07-6513-00-0200,-72.412175,5.366959,-72.337483,5.39761
07-6513-00-0300,-72.337483,5.39761,-72.32177,5.404225
07-6513-00-0400,-72.32177,5.404225,-72.287884,5.417667
07-6513-00-0500,-72.279087,5.421151,-72.230546,5.491314
07-6513-00-0600,-72.230546,5.491314,-72.221351,5.507574
07-6513-00-0700,-72.221351,5.507574,-72.21618,5.516571
07-6513-00-0800,-72.21618,5.516571,-72.188689,5.54087
07-6513-00-0900,-72.188689,5.54087,-72.179603,5.549434
07-6513-00-1000,-72.179603,5.549434,-72.174385,5.556539
07-6513-00-1100,-72.174385,5.556539,-72.165171,5.56466
07-6513-00-1100,-72.165171,5.56466,-72.145857,5.577629
07-6513-00-1300,-72.145857,5.577629,-72.133447,5.591096
07-6513-00-1300,-72.133447,5.591096,-72.126332,5.593807
07-6513-00-1500,-72.126332,5.593807,-72.11846,5.602077
07-6513-00-1600,-72.116076,5.604636,-72.107934,5.617778
07-6513-00-1700,-72.107934,5.617778,-72.096822,5.632597
07-6513-00-1800,-72.096822,5.632597,-72.086872,5.652662
07-6513-00-1800,-72.086872,5.652662,-72.087817,5.666911
07-6513-00-2000,-72.086716,5.66872,-72.058016,5.67404
